Test,Test,Test Test,4.9,16,"40.1838595,29.0618687"
Amasya,area,Amasya Arkeoloji Müzesi,4.6,48,"40.6495626,35.8246489"
Amasya,eczane,Amasya Eczanesi,5.0,21,"40.6507237,35.8309622"
Amasya,eczane,Saracaoğlu Eczanesi,4.0,48,"40.662279,35.8467762"
Amasya,eczane,Vural Eczanesi,3.0,10,"40.6624273,35.8472827"
Amasya,Lokanta,Ali Kaya Lokantası,5.0,40,"40.6500925,35.8302903"
Amasya,Lokanta,Küçük Ev Lokantası,3.9,14,"40.650682,35.830782"
Amasya,Lokanta,Esnaf Lokantasi,4.0,39,"40.6502179,35.8280461"
Amasya,Lokanta,Tadım Döner,4.0,25,"40.6507997,35.8295362"
Amasya,Lokanta,DOYUM 01 OCAKBAŞI,4.4,10,"40.6502227,35.8298624"
Amasya,cami,Sultan Iı  Bayezit Cami,4.8,19,"40.650344,35.827038"
Amasya,cami,Çıkrıkcı Cami,3.8,31,"40.648185,35.8224901"
Amasya,cami,kamil efendi camii,4.0,37,"40.6477565,35.8268763"
Amasya,area,Amasya Harşena Kalesi,4.5,24,"40.6554571,35.8268116"
Amasya,eczane,Başak Eczanesi,4.3,14,"40.651398,35.832992"
Amasya,eczane,Müjde Eczanesi,4.0,15,"40.6578186,35.8145322"
Amasya,eczane,Albayrak Eczanesi,5.0,30,"40.6507791,35.8240429"
Amasya,Lokanta,Komagene,3.7,37,"40.6539459,35.817982"
Amasya,Lokanta,Bodrum Lokantası,4.0,21,"40.6538275,35.8178932"
Amasya,Lokanta,By Konyar PLUS,2.7,20,"40.6558565,35.8171899"
Amasya,Lokanta,Kısmet Lokantası,3.6,34,"40.6517404,35.8332284"
Amasya,Lokanta,Amaseia Mutfağı,4.1,41,"40.652299,35.830198"
Amasya,cami,Kurşunlu Cami,4.4,45,"40.655594,35.8204039"
Amasya,cami,Yeni İstasyon Cami,4.5,17,"40.654188,35.8177111"
Amasya,cami,"Hatuniye Camii, Amasya",4.7,29,"40.652123,35.8293729"
Amasya,area,Şehzadeler Müzesi,4.3,20,"40.652136,35.830333"
Amasya,eczane,özlü eczanesi,4.4,19,"40.650248,35.8291911"
Amasya,eczane,Evrim Eczanesi,1.0,33,"40.6497611,35.8232051"
Amasya,eczane,Canlı Eczanesi,4.0,15,"40.650629,35.8314949"
Amasya,Lokanta,Çiçek Lokantası,4.3,44,"40.649877,35.8353077"
Amasya,cami,Gökmedrese Cami,4.9,18,"40.649593,35.820126"
Amasya,cami,Pir Mehmet Çelebi Cami,4.6,30,"40.651595,35.83404"
Amasya,cami,Mehmet Paşa Cami,4.8,50,"40.6546673,35.835599"
Amasya,area,Gümüşlü Cami,4.7,11,"40.652111,35.8347578"
Amasya,eczane,Zeynep Eczanesi,2.5,34,"40.650654,35.8232818"
Amasya,eczane,Enes Eczanesi,3.7,13,"40.6498514,35.8251499"
Amasya,eczane,Seven Eczanesi,4.1,14,"40.6503561,35.8302755"
Amasya,Lokanta,Burger King,3.0,32,"40.6520693,35.8323598"
Amasya,cami,Köprübaşı Cami,4.9,24,"40.651876,35.8264681"
Amasya,cami,Sofular Abdullah Paşa Cami,4.6,20,"40.651987,35.837066"
Amasya,eczane,Kilari Selim Ağa Camii,4.0,32,"40.6494541,35.8288831"
Amasya,area,Borabay gölü,4.7,27,"40.803611,36.153611"
Amasya,eczane,YENİDOĞAN ECZANESİ,5.0,24,"41.2804394,36.3332427"
Amasya,eczane,Cedit Eczanesi,3.2,12,"41.3037121,36.328279"
Amasya,eczane,NÖBETÇİ ECZANE,1.0,40,"41.2799647,36.3361665"
Amasya,Lokanta,Boraboy Kır Lokantası,3.8,46,"40.8042336,36.1584346"
Amasya,Lokanta,Boraboy Gölü Tabiat Parkı,4.6,26,"40.8048217,36.1588478"
Amasya,Lokanta,yağmur lokantası,3.8,18,"40.759665,36.323159"
Amasya,Lokanta,Akçay Lokantası,4.3,23,"41.006536,39.7257044"
Amasya,Lokanta,Kalender Lokanta ve Kafe,4.5,12,"41.0047442,39.7268413"
Amasya,cami,Boraboy Yeni Cami,5.0,23,"40.809686,36.18331"
Amasya,cami,Destek Cami,4.7,41,"40.8475552,36.1836811"
Amasya,cami,Yemişen Mahallesi Cami,4.6,26,"40.764718,36.3208979"
Amasya,area,Pontus Kralları Kaya Mezarları,4.4,45,"40.653601,35.8304152"
Amasya,eczane,Merkez Eczanesi,3.7,33,"40.6508248,35.8312598"
Amasya,eczane,Vatan Eczanesi,3.5,23,"40.650991,35.8326909"
Amasya,eczane,Koçbaş Eczanesi,2.8,40,"40.6516095,35.8336878"
Amasya,Lokanta,Anıt Lokantası,3.8,23,"40.6518467,35.8335916"
Amasya,cami,Saraçhane Cami,4.6,42,"40.6517363,35.8319358"
Amasya,eczane,Sabuncuoğlu Şerefeddin Eğitim ve Araştırma Hastanesi,2.6,25,"40.6612904,35.8465666"
Amasya,eczane,Şifa Tıp Merkez,2.3,47,"40.651766,35.8336206"
Amasya,eczane,Diyetisyen Gülşah,4.2,36,"40.651581,35.833575"
Amasya,eczane,Yeni Suluova Devlet Hastanesi,3.9,30,"40.8263343,35.6525763"
Amasya,mall,amasyaPARK AVM,3.7,23,"40.6500796,35.8210446"
Amasya,mall,Demirkayalar Avm,3.6,14,"40.662623,35.8336826"
Amasya,mall,LC Waikiki,3.9,30,"40.6500428,35.8207533"
Amasya,mall,Amasya Çarşısı,4.2,32,"40.6515273,35.8311021"
Amasya,mall,FLO Amasya Park AVM Mağazası,3.3,34,"40.6501045,35.8210401"
Amasya,mall,İstanbul Ucuzluk,3.6,29,"40.6675565,35.8472237"
Amasya,mall,Teknosa,3.7,10,"40.650091,35.8208674"
Amasya,mall,CarrefourSA,3.9,50,"40.6507727,35.8211565"